state,year,pr_mm,r20mm_days,rx5day_mm,flood_count,total_damage_usd,total_deaths,population,flood_count_per100k,damage_per_capita
Johor,2014,1922.44,10,96.07,1,284000000,17,28478.20000000001,3.511457887085559,9972.540399322987
Johor,2015,2357.0299999999984,23,288.49,0,0,0,28882.39999999998,0,0
Johor,2016,2325.109999999999,25,278.52,2,132000000,0,29213.399999999983,6.846173331416409,4518.47439873483
Johor,2017,3140.189999999999,39,299.45,1,0,0,29578.1,3.3808797725344095,0
Johor,2018,2219.029999999999,12,113.28,1,0,2,29993.899999999983,3.3340112489539555,0
Johor,2019,2195.369999999999,19,163.82999999999998,2,0,2,30090.799999999992,6.646549776011274,0
Johor,2020,2425.469999999998,25,132.3,1,0,0,32076.89999999997,3.117508238015522,0
Kedah,2014,2543.169999999999,35,189.31,0,0,0,16500.500000000007,0,0
Kedah,2015,2356.2199999999984,29,176.79000000000002,0,0,0,16772.000000000004,0,0
Kedah,2016,2132.4,28,286.87,1,0,0,16955.399999999998,5.8978260613138005,0
Kedah,2017,2128.499999999999,24,207.2,1,0,7,17150.599999999988,5.830699800590072,0
Kedah,2018,2267.4099999999976,22,215.21,0,0,0,17302.89999999999,0,0
Kedah,2019,2528.0999999999967,35,259.90999999999997,0,0,0,17389.39999999998,0,0
Kedah,2020,2055.2699999999986,22,142.38,0,0,0,17051.3,0,0
Kelantan,2014,2805.0399999999995,30,427.12,0,0,0,13787.400000000023,0,0
Kelantan,2015,2281.2,24,178.82999999999998,0,0,0,14084.700000000013,0,0
Kelantan,2016,2758.6799999999994,37,468.11,0,0,0,14373.50000000001,0,0
Kelantan,2017,2878.05,30,383.26,1,0,2,14633.100000000019,6.833821951602864,0
Kelantan,2018,3090.060000000001,37,302.23,0,0,0,14883.800000000017,0,0
Kelantan,2019,2959.49,32,232.48,1,0,0,15069.200000000013,6.636052345180892,0
Kelantan,2020,3012.169999999999,35,207.11,1,0,0,14340.49999999999,6.973257557267882,0
Melaka,2014,1578.769999999999,16,113.84,0,0,0,6973.900000000007,0,0
Melaka,2015,2069.9600000000005,26,164.17999999999998,0,0,0,7110.700000000005,0,0
Melaka,2016,1998.179999999998,26,190.56,0,0,0,7210.600000000005,0,0
Melaka,2017,3167.8200000000006,50,344.47,0,0,0,7304.000000000004,0,0
Melaka,2018,1778.7199999999987,22,116.94,0,0,0,7379.200000000001,0,0
Melaka,2019,2032.55,29,175.25,0,0,0,7427.000000000011,0,0
Melaka,2020,1813.5300000000002,21,99.39000000000001,0,0,0,7987.200000000009,0,0
Nsembilan,2014,1571.15,12,88.08999999999999,0,0,0,NA,NA,NA
Nsembilan,2015,1872.5399999999988,13,164.59,0,0,0,NA,NA,NA
Nsembilan,2016,1694.139999999999,12,128.7,0,0,0,NA,NA,NA
Nsembilan,2017,2428.9000000000015,27,156.76999999999998,0,0,0,NA,NA,NA
Nsembilan,2018,1719.9999999999993,13,84.63999999999999,0,0,0,NA,NA,NA
Nsembilan,2019,1860.6800000000005,17,110.75,0,0,0,NA,NA,NA
Nsembilan,2020,2059.510000000001,26,137.25,0,0,0,NA,NA,NA
Pahang,2014,2016.330000000001,7,110.08999999999999,0,0,0,12732.600000000011,0,0
Pahang,2015,1963.1,13,143.35,0,0,0,12863.200000000006,0,0
Pahang,2016,2108.4799999999996,17,205.88,0,0,0,13015.000000000005,0,0
Pahang,2017,2631.110000000002,30,265.97,0,0,0,13175.800000000017,0,0
Pahang,2018,2227.37,13,112.25999999999999,0,0,0,13317,0,0
Pahang,2019,2259.819999999999,18,121.75999999999999,0,0,0,13372.8,0,0
Pahang,2020,2499.849999999999,23,211.59,0,0,0,12731.000000000002,0,0
Penang,2014,2592.91,35,206.99,0,0,0,NA,NA,NA
Penang,2015,2404.79,34,244.20999999999998,0,0,0,NA,NA,NA
Penang,2016,2109.830000000001,21,403.16999999999996,0,0,0,NA,NA,NA
Penang,2017,2129.2599999999998,27,271.56,0,0,0,NA,NA,NA
Penang,2018,2656.409999999999,33,525.08,0,0,0,NA,NA,NA
Penang,2019,2457.6100000000015,41,242.43,0,0,0,NA,NA,NA
Penang,2020,1889.75,20,184.89,0,0,0,NA,NA,NA
Perak,2014,2358.630000000001,24,149.6,0,0,0,19670.900000000005,0,0
Perak,2015,2370.740000000002,26,208.74,0,0,0,19735.099999999988,0,0
Perak,2016,2149.789999999999,22,173.76,0,0,0,19857.999999999996,0,0
Perak,2017,2793.2199999999993,34,256.33,0,0,0,19944.299999999985,0,0
Perak,2018,2708.1299999999997,33,172.42000000000002,0,0,0,20027.5,0,0
Perak,2019,2515.2899999999995,26,140.5,0,0,0,20069.899999999987,0,0
Perak,2020,2503.4400000000005,26,124.13999999999999,0,0,0,19968.100000000002,0,0
Perlis,2014,2239.3400000000006,27,276.81,0,0,0,1958.6999999999969,0,0
Perlis,2015,2231.1300000000015,25,335.34,0,0,0,1987.3999999999965,0,0
Perlis,2016,1709.7899999999986,22,116.17,0,0,0,2007.899999999996,0,0
Perlis,2017,1563.0099999999993,17,149.12,0,0,0,2015.9999999999952,0,0
Perlis,2018,1749.48,20,149.81,0,0,0,2029.099999999995,0,0
Perlis,2019,1824.11,20,194.35,0,0,0,2031.6999999999966,0,0
Perlis,2020,1748.1399999999999,19,134.59,0,0,0,2279.299999999994,0,0
Selangor,2014,2004.5600000000006,23,113.44999999999999,0,0,0,48409.09999999993,0,0
Selangor,2015,2539.279999999999,25,309.39,0,0,0,49422.899999999994,0,0
Selangor,2016,2143.900000000001,26,204.58,0,0,0,50331.000000000015,0,0
Selangor,2017,3023.0399999999986,41,224.59,0,0,0,51047.599999999984,0,0
Selangor,2018,2241.4400000000005,22,159.99,0,0,0,51800.10000000003,0,0
Selangor,2019,2376.2599999999966,29,163.3,0,0,0,52050.40000000002,0,0
Selangor,2020,2568.919999999998,31,212.96000000000004,0,0,0,55955.50000000005,0,0
Selangor-Wilayah,2014,2005.0600000000002,23,113.53999999999999,0,0,0,NA,NA,NA
Selangor-Wilayah,2015,2540.04,26,309.64,0,0,0,NA,NA,NA
Selangor-Wilayah,2016,2143.5700000000006,26,204.35,0,0,0,NA,NA,NA
Selangor-Wilayah,2017,3023.6699999999983,41,224.57,0,0,0,NA,NA,NA
Selangor-Wilayah,2018,2241.85,22,160.02,0,0,0,NA,NA,NA
Selangor-Wilayah,2019,2377.149999999998,29,163.25,0,0,0,NA,NA,NA
